City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
163,Praia,CV,2021-12-21 17:21:34,14.9215,-23.5087,77.54,61,40,19.57
164,Peniche,PT,2021-12-21 17:21:35,39.3558,-9.3811,63.63,89,86,21.5
165,Keshod,IN,2021-12-21 17:21:35,21.3,70.25,65.57,45,20,6.73
166,Vostok,RU,2021-12-21 17:21:36,46.4856,135.8833,-7.67,99,100,4.38
167,Hasaki,JP,2021-12-21 17:21:36,35.7333,140.8333,34.2,59,0,7.11
168,Kaitangata,NZ,2021-12-21 17:21:36,-46.2817,169.8464,55.92,60,4,7.67
169,Mantua,IT,2021-12-21 17:21:37,45.1667,10.7833,44.74,85,100,3.67
170,Poum,NC,2021-12-21 17:21:37,-20.2333,164.0167,79.95,77,1,7.49
171,Ayolas,PY,2021-12-21 17:21:37,-27.4,-56.9,103.06,25,0,7.31
172,Sur,OM,2021-12-21 17:21:38,22.5667,59.5289,72.66,68,8,2.15
173,Lukovetskiy,RU,2021-12-21 17:21:38,64.2956,41.9211,-7.62,98,93,4.92
174,Mahebourg,MU,2021-12-21 17:21:38,-20.4081,57.7,79.09,78,75,12.66
175,Merauke,ID,2021-12-21 17:21:39,-8.4667,140.3333,79.54,84,99,4.38
176,Luganville,VU,2021-12-21 17:21:39,-15.5333,167.1667,77.58,85,88,3.53
177,Tonantins,BR,2021-12-21 17:21:39,-2.8731,-67.8022,85.95,70,97,3.44
178,Tadine,NC,2021-12-21 17:21:40,-21.55,167.8833,77.04,80,36,5.53
179,Ferkessedougou,CI,2021-12-21 17:21:40,9.6,-5.2,93.16,13,5,5.97
180,Salinopolis,BR,2021-12-21 17:21:40,-0.6136,-47.3561,85.91,65,88,13.65
181,Maloy,NO,2021-12-21 17:21:41,61.9353,5.1136,40.06,83,98,5.01
182,Bengkulu,ID,2021-12-21 17:21:41,-3.8004,102.2655,78.15,84,100,5.99
183,Finschhafen,PG,2021-12-21 17:21:41,-6.6024,147.8681,79.0,83,59,4.72
184,Lebu,CL,2021-12-21 17:21:42,-37.6167,-73.65,61.93,65,0,20.96
185,Alofi,NU,2021-12-21 17:21:42,-19.0595,-169.9187,73.29,94,91,5.75
186,Yanam,IN,2021-12-21 17:21:43,16.7333,82.2167,72.0,82,7,1.66
187,Mezapa,HN,2021-12-21 17:21:43,15.5833,-87.65,84.13,64,19,2.35
188,Hamilton,US,2021-12-21 17:16:55,39.1834,-84.5333,43.12,78,75,1.01
189,Brae,GB,2021-12-21 17:21:43,60.3964,-1.353,42.71,78,100,8.43
190,Bereda,ES,2021-12-21 17:22:44,43.2686,-7.5406,58.75,94,91,2.51
191,Polunochnoye,RU,2021-12-21 17:22:44,60.8697,60.4153,-7.44,98,100,6.6
192,Sergeyevka,KZ,2021-12-21 17:22:45,53.88,67.4158,27.21,83,100,13.51
193,Reforma,MX,2021-12-21 17:22:45,18.1,-91.0167,76.37,84,78,8.61
194,Saint-Georges,GD,2021-12-21 17:22:45,12.0564,-61.7485,85.68,70,40,21.85
195,Buin,CL,2021-12-21 17:19:30,-33.7333,-70.75,89.06,15,0,9.53
196,Carnarvon,AU,2021-12-21 17:21:28,-24.8667,113.6333,71.67,83,29,19.57
197,Sabang,ID,2021-12-21 17:22:46,5.8933,95.3214,81.12,69,86,6.24
198,Havoysund,NO,2021-12-21 17:22:47,70.9963,24.6622,20.28,69,100,4.94
199,Nuevitas,CU,2021-12-21 17:22:47,21.5453,-77.2644,85.44,52,5,2.59
200,Brigantine,US,2021-12-21 17:22:47,39.4101,-74.3646,43.0,61,1,4.61
201,Butaritari,KI,2021-12-21 17:22:48,3.0707,172.7902,81.1,71,94,6.98
202,Mao,ES,2021-12-21 17:22:48,39.8885,4.2658,57.76,94,40,4.61
203,Belmonte,BR,2021-12-21 17:22:48,-15.8631,-38.8828,79.3,68,93,5.93
204,Novoagansk,RU,2021-12-21 17:22:49,61.9449,76.6625,1.9,96,100,8.79
205,Soma,TR,2021-12-21 17:22:49,39.1855,27.6094,39.99,66,6,5.93
206,Papara,BR,2021-12-21 17:22:49,-3.9839,-38.7273,86.4,47,79,13.38
207,Lagoa,PT,2021-12-21 17:22:50,39.05,-27.9833,64.08,87,100,36.89
208,Camacha,PT,2021-12-21 17:22:50,33.0833,-16.3333,65.16,77,40,14.97
209,Tanout,NE,2021-12-21 17:22:51,14.9709,8.8879,70.16,15,0,14.12
210,Fairbanks,US,2021-12-21 17:22:25,64.8378,-147.7164,19.74,78,1,14.97
211,Godfrey,US,2021-12-21 17:22:51,38.9556,-90.1868,44.91,75,0,1.01
212,Kondinskoye,RU,2021-12-21 17:22:52,59.6481,67.41,24.15,96,100,10.45
213,Cognac,FR,2021-12-21 17:22:52,45.5,-0.25,40.6,81,0,4.61
214,Pedasi,PA,2021-12-21 17:22:52,7.5333,-80.0333,81.07,82,100,4.92
215,Atikokan,CA,2021-12-21 17:22:53,48.7555,-91.6216,9.45,91,100,1.12
216,Netanya,IL,2021-12-21 17:21:33,32.3329,34.8599,56.84,65,31,10.74
217,Fatsa,TR,2021-12-21 17:22:54,41.0278,37.5014,40.8,91,100,7.54
218,Washington,US,2021-12-21 17:19:13,47.5001,-120.5015,28.58,95,95,2.35
219,Namatanai,PG,2021-12-21 17:22:54,-3.6667,152.4333,79.52,83,100,4.36
220,Airai,TL,2021-12-21 17:22:54,-8.9266,125.4092,60.66,93,95,0.43
221,Diu,IN,2021-12-21 17:22:55,20.7141,70.9822,68.25,44,6,6.33
222,Sandnessjoen,NO,2021-12-21 17:22:55,66.0217,12.6316,31.98,61,20,5.01
223,Challapata,BO,2021-12-21 17:22:55,-18.9,-66.7667,49.55,79,100,3.42
224,Eregli,TR,2021-12-21 17:22:56,37.5133,34.0467,32.43,67,49,1.88
225,Isangel,VU,2021-12-21 17:23:56,-19.55,169.2667,78.78,83,0,1.52
226,Lucapa,AO,2021-12-21 17:23:57,-8.4192,20.7447,70.77,95,100,2.66
227,Horsens,DK,2021-12-21 17:21:04,55.8607,9.8503,35.76,90,95,5.95
228,Dingle,PH,2021-12-21 17:23:57,10.9995,122.6711,74.53,91,72,6.17
229,Baiyin,CN,2021-12-21 17:23:58,36.5583,104.2081,16.68,27,16,2.37
230,Svetlyy,RU,2021-12-21 17:23:58,54.675,20.1347,24.96,93,96,6.35
231,Jalu,LY,2021-12-21 17:23:59,29.0331,21.5482,57.34,40,0,4.43
232,Acapulco,MX,2021-12-21 17:21:45,16.8634,-99.8901,85.82,62,75,0.0
233,Palau,PW,2021-12-21 17:23:59,7.503,134.621,76.96,94,90,10.36
234,Lorengau,PG,2021-12-21 17:23:59,-2.0226,147.2712,81.12,81,100,5.32
235,Leh,IN,2021-12-21 17:24:00,34.1667,77.5833,5.97,77,18,4.07
236,Sept-Iles,CA,2021-12-21 17:24:00,50.2001,-66.3821,27.05,70,75,11.01
237,Cidreira,BR,2021-12-21 17:24:00,-30.1811,-50.2056,79.25,66,4,10.4
238,Axim,GH,2021-12-21 17:24:01,4.8699,-2.2405,84.13,54,85,9.48
239,Sitka,US,2021-12-21 17:24:01,57.0531,-135.33,33.69,93,90,9.22
240,Dutlwe,BW,2021-12-21 17:24:02,-23.9833,23.9,83.08,34,100,5.23
241,Saint-Francois,FR,2021-12-21 17:24:02,46.4154,3.9054,31.68,90,75,5.75
242,Torbay,CA,2021-12-21 17:24:02,47.6666,-52.7314,27.57,83,90,12.66
243,Obera,AR,2021-12-21 17:24:03,-27.4871,-55.1199,100.49,21,6,5.64
244,Gravdal,NO,2021-12-21 17:24:03,68.1214,13.5031,28.29,64,0,6.91
