City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
266,Salinopolis,BR,81.97,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
268,Camaqua,BR,70.54,clear sky,-30.8511,-51.8122,Bartz Hotel
270,Vao,NC,75.51,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
274,Tecoanapa,MX,84.07,clear sky,16.5167,-98.75,Hotel Manglares
275,Iquitos,PE,78.78,overcast clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
282,Moa,CU,78.37,overcast clouds,20.6569,-74.9403,Carmen
283,Kirakira,SB,84.16,scattered clouds,-10.4544,161.9205,SanBiz Lodge
285,Lindi,TZ,75.81,overcast clouds,-10.0,39.7167,Lindi paradise house
287,Anori,BR,76.55,heavy intensity rain,-3.7728,-61.6442,Novo Hotel 5 Irmãos
288,Caravelas,BR,77.38,heavy intensity rain,-17.7125,-39.2481,Pousada dos Navegantes
290,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
292,Ferkessedougou,CI,77.41,scattered clouds,9.6,-5.2,Hotel Chateau
300,Sinnamary,GF,76.53,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
302,Kerema,PG,80.53,overcast clouds,-7.9631,145.7785,Frena Lodge
304,Picota,PE,84.69,broken clouds,-6.9197,-76.3304,Hospedaje Vanessa
306,Mackay,AU,84.69,clear sky,-21.15,149.2,International Lodge Motel
308,Noumea,NC,84.18,clear sky,-22.2763,166.4572,Hôtel Le Lagon
310,Ternate,ID,79.48,light rain,0.8,127.4,Sahid Bela Ternate Hotel
311,Acapulco,MX,83.17,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
323,Minna,NG,80.24,clear sky,9.6139,6.5569,Royal Park hotel & suites
327,Port-Gentil,GA,81.68,broken clouds,-0.7193,8.7815,Fengshui Residence
334,Cananeia,BR,75.72,moderate rain,-25.0147,-47.9267,Pousada Ancoradouro
339,Hambantota,LK,75.54,broken clouds,6.1241,81.1185,Bungalow 63
345,Harlingen,US,78.35,clear sky,26.1906,-97.6961,Courtyard by Marriott Harlingen
346,Bubaque,GW,81.45,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
349,Palu,ID,74.12,broken clouds,-0.8917,119.8707,Hotel Santika Palu
355,Pochutla,MX,84.02,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
359,Loubomo,CG,73.51,light rain,-4.1997,12.6739,La Dolisienne
362,Paita,PE,75.76,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
374,Rosarito,MX,72.41,overcast clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
375,Saint-Georges,GD,79.59,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
378,Prado,BR,77.43,moderate rain,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
379,Kimbe,PG,80.85,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
382,Yenagoa,NG,77.63,scattered clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
387,Beyla,GN,70.88,scattered clouds,8.6833,-8.6333,DIAN SINKO
391,Ocara,BR,79.07,broken clouds,-4.4908,-38.5967,Pousada familiar
395,Angoche,MZ,80.17,few clouds,-16.2325,39.9086,Guest House HESADA
396,Lisala,CD,75.65,overcast clouds,2.15,21.5167,Flat hôtel tozelaka
397,Bandarbeyla,SO,76.96,overcast clouds,9.4942,50.8122,JABIR HOTEL
400,Bougouni,ML,74.93,overcast clouds,11.417,-7.479,Non Stop
404,Isiro,CD,72.79,overcast clouds,2.7739,27.616,Guest House Hewa Bora
408,Namatanai,PG,83.5,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
409,Juruti,BR,83.86,overcast clouds,-2.1522,-56.0922,Hotel Acauã - ORLA
428,Nouakchott,MR,71.53,clear sky,18.0858,-15.9785,HOTEL IMAN
437,Teahupoo,PF,82.36,light rain,-17.8333,-149.2667,Vanira Lodge
453,Jalingo,NG,77.05,clear sky,8.8833,11.3667,Debright Motel
460,Mareeba,AU,79.52,few clouds,-17.0,145.4333,Trinity Plains Tourist Park
463,Maicao,CO,83.07,overcast clouds,11.3832,-72.2432,Hotel Sancho
469,Cairns,AU,84.15,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
470,Galle,LK,76.57,overcast clouds,6.0367,80.217,Amangalla
476,Mattru,SL,73.96,broken clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
478,Iralaya,HN,76.24,overcast clouds,15.0,-83.2333,Iglesia morava renovada
479,Kaeo,NZ,73.45,overcast clouds,-35.1,173.7833,Bushido Lodge
482,Portel,BR,81.61,overcast clouds,-1.9356,-50.8211,Kitnet do Marcos
486,Fare,PF,81.99,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
488,Alugan,PH,79.74,overcast clouds,12.2188,125.4808,JM Lodge
490,Mogadishu,SO,79.05,broken clouds,2.0371,45.3438,Hotel Juba
496,Ahuimanu,US,82.11,light rain,21.4447,-157.8378,Paradise Bay Resort
499,Berbera,SO,75.13,scattered clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
503,Itaguai,BR,84.58,moderate rain,-22.8522,-43.7753,It Grande Hotel Itaguai
505,Bitung,ID,76.05,light rain,1.4451,125.1824,K2 Lembeh
507,Muli,MV,81.84,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
510,Carlsbad,US,73.44,haze,33.1581,-117.3506,Carlsbad Inn Beach Resort
512,Buala,SB,80.98,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
515,Labuhan,ID,78.46,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
517,Zwedru,LR,75.27,few clouds,6.0667,-8.1281,Elijah Worjloh
527,Cururupu,BR,79.92,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
532,Isabela,PH,76.37,overcast clouds,6.7085,121.9711,Isawad Resort
536,Muswellbrook,AU,75.24,overcast clouds,-32.2667,150.9,Wayfarer Motel
547,Grand-Santi,GF,73.26,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
551,Martapura,ID,73.49,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
555,Touros,BR,83.3,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
556,Mersing,MY,76.46,light rain,2.4312,103.8405,Timotel Hotel
557,Guerrero,MX,79.61,clear sky,17.6667,-100.0,Villaxochilt
562,Nargana,PA,81.01,overcast clouds,9.4428,-78.5906,Dubbir
568,Innisfail,AU,83.88,broken clouds,-17.5333,146.0333,Moondarra Motel
570,Flinders,AU,73.2,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
571,Dabakala,CI,78.84,clear sky,8.3667,-4.4333,Hôtel Campement
572,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
